Factory	Before	After
Pilot	55	60
Pilot	106	111
Pilot	64	58
Pilot	66	82
Pilot	62	68
Pilot	87	90
Pilot	71	79
Pilot	85	88
Pilot	105	99
Pilot	103	104
Pilot	56	62
Pilot	89	98
Pilot	50	54
Pilot	108	119
Pilot	67	75
Pilot	46	50
Pilot	102	107
Pilot	61	69
Pilot	90	89
Pilot	55	59
Pilot	82	85
Pilot	55	62
Pilot	95	98
Pilot	64	67
Pilot	96	96
Pilot	74	69
Pilot	90	91
Pilot	65	72
Pilot	34	40
Pilot	92	98
NonPilot	87	91
NonPilot	48	45
NonPilot	86	88
NonPilot	64	66
NonPilot	76	72
NonPilot	56	58
NonPilot	96	94
NonPilot	103	104
NonPilot	74	77
NonPilot	122	123
NonPilot	96	99
NonPilot	117	118
NonPilot	65	59
NonPilot	71	61
NonPilot	77	73
NonPilot	54	48
NonPilot	58	57
NonPilot	74	76
NonPilot	77	76
NonPilot	62	64
NonPilot	47	50
NonPilot	87	88
NonPilot	71	72
NonPilot	57	58
NonPilot	31	31
NonPilot	88	91
NonPilot	106	107
NonPilot	72	72
NonPilot	75	75
NonPilot	84	87
